#{"t_start": 1545891378.3654225, "gym_version": "0.10.8", "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,76.83661
-500.0,500,78.630541
-500.0,500,80.42134
-500.0,500,82.329286
-500.0,500,362.327283
-500.0,500,364.117333
-500.0,500,365.921159
-500.0,500,367.809398
-500.0,500,556.088178
-500.0,500,557.918844
-500.0,500,559.761389
-500.0,500,561.563228
-500.0,500,750.475039
-500.0,500,752.368047
-500.0,500,754.182384
-500.0,500,756.005466
-500.0,500,943.332461
-500.0,500,945.199591
-500.0,500,947.154989
-500.0,500,949.0013
-500.0,500,1140.723145
-500.0,500,1142.516187
-500.0,500,1144.343766
-500.0,500,1146.142431
-500.0,500,1336.594841
-500.0,500,1338.393962
-500.0,500,1340.204704
-500.0,500,1342.013289
-500.0,500,1531.440954
-500.0,500,1533.3061
-500.0,500,1535.126919
-500.0,500,1536.90816
-500.0,500,1726.052549
-500.0,500,1727.841371
-500.0,500,1729.630852
-500.0,500,1731.501712
-500.0,500,1920.455003
-500.0,500,1922.243273
-500.0,500,1924.043024
-500.0,500,1925.82576
-500.0,500,2114.854724
-500.0,500,2116.759271
-500.0,500,2118.573102
-500.0,500,2120.491595
-500.0,500,2122.274055
-500.0,500,2311.752515
-500.0,500,2313.627428
-500.0,500,2315.429268
-500.0,500,2317.238104
-500.0,500,2506.371008
-500.0,500,2508.170619
-500.0,500,2509.972043
-500.0,500,2511.856309
-500.0,500,2701.025335
-500.0,500,2702.805406
-500.0,500,2704.59676
-500.0,500,2706.390713
-500.0,500,2895.461284
-500.0,500,2897.332283
-500.0,500,2899.134332
-500.0,500,2900.932781
-500.0,500,3090.087056
-500.0,500,3091.882519
-500.0,500,3093.676538
-500.0,500,3095.554612
-500.0,500,3284.661627
-500.0,500,3286.450001
-500.0,500,3288.236391
-500.0,500,3290.011096
-500.0,500,3478.974044
-500.0,500,3480.8499
-500.0,500,3482.66713
-500.0,500,3484.467315
-500.0,500,3673.485112
-500.0,500,3675.271101
-500.0,500,3677.095311
-500.0,500,3678.949295
-500.0,500,3867.978735
-500.0,500,3869.801068
-500.0,500,3871.606075
-500.0,500,3873.387238
-500.0,500,4062.40335
-500.0,500,4064.18716
-500.0,500,4065.975841
-500.0,500,4067.767924
-500.0,500,4069.554958
-500.0,500,4258.54935
-500.0,500,4260.415716
-500.0,500,4262.195768
-500.0,500,4263.995686
-500.0,500,4452.78596
-500.0,500,4454.574829
-500.0,500,4456.370458
-500.0,500,4458.206543
-500.0,500,4647.332502
-500.0,500,4649.136389
-500.0,500,4650.942032
-500.0,500,4652.744006
-500.0,500,4841.799397
-500.0,500,4843.689134
-500.0,500,4845.493491
-500.0,500,4847.301552
-500.0,500,5036.16902
-500.0,500,5037.961316
-500.0,500,5039.751014
-500.0,500,5041.631879
-500.0,500,5230.89222
-500.0,500,5232.681004
-500.0,500,5234.473302
-500.0,500,5236.268595
-500.0,500,5425.426977
-500.0,500,5427.212525
-500.0,500,5429.015128
-500.0,500,5430.837192
-500.0,500,5619.780034
-500.0,500,5621.572009
-500.0,500,5623.46001
-500.0,500,5625.269903
-500.0,500,5814.382658
-500.0,500,5816.179694
-500.0,500,5817.964068
-500.0,500,5819.765941
-500.0,500,6008.786396
-500.0,500,6010.575735
-500.0,500,6012.385218
-500.0,500,6014.185398
-500.0,500,6203.246418
-500.0,500,6205.037661
-500.0,500,6206.91071
-500.0,500,6208.72813
-500.0,500,6210.551413
-500.0,500,6399.348562
-500.0,500,6401.149243
-500.0,500,6402.962599
-500.0,500,6404.841174
-500.0,500,6593.827019
-500.0,500,6595.621772
-500.0,500,6597.434617
-500.0,500,6599.248561
-500.0,500,6788.371555
-500.0,500,6790.245651
-500.0,500,6792.045504
-500.0,500,6793.853482
-500.0,500,6982.902054
-500.0,500,6984.68451
-500.0,500,6986.461975
-500.0,500,6988.342074
-500.0,500,7177.264969
-500.0,500,7179.056949
-500.0,500,7180.87044
-500.0,500,7182.682288
-500.0,500,7371.817846
-500.0,500,7373.705647
-500.0,500,7375.512833
-500.0,500,7377.305479
-500.0,500,7566.510268
-500.0,500,7568.293422
-500.0,500,7570.104522
-500.0,500,7571.972399
-500.0,500,7760.956125
-500.0,500,7762.762962
-500.0,500,7764.570524
-500.0,500,7766.369481
-500.0,500,7955.380764
-500.0,500,7957.168506
-500.0,500,7958.96524
-500.0,500,7960.778402
-500.0,500,8149.466557
-500.0,500,8151.255244
-500.0,500,8153.056259
-500.0,500,8154.862852
-500.0,500,8156.664519
-500.0,500,8345.729154
-500.0,500,8347.526035
-500.0,500,8349.331225
-500.0,500,8351.14326
