#{"t_start": 1545676627.124362, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
28.654201,46,1.954067
37.3319,38,2.110976
40.51257,52,2.32361
40.016729,41,2.492654
28.565511,37,2.646828
28.32847,31,2.775075
24.53524,48,2.973736
36.882376,42,3.152381
25.598222,28,3.282023
34.909502,39,3.445194
29.816243,31,3.570993
25.666271,30,3.69345
36.920745,36,3.842221
51.763618,49,4.344595
39.150028,41,4.513592
27.916131,32,4.644747
82.577714,75,4.953653
28.504948,30,5.07703
28.951203,44,5.258415
26.89592,31,5.3853
28.925613,30,5.507108
26.97938,43,5.68346
36.425656,41,5.850129
26.918873,40,6.010599
23.114955,29,6.130374
31.199703,35,6.272257
34.203844,37,6.580391
68.871182,54,6.799161
33.176254,39,6.957412
28.331322,31,7.0813
52.167767,59,7.320632
28.343885,32,7.452871
37.606407,36,7.600756
29.210517,30,7.723969
24.265843,28,7.837687
25.223975,30,7.958773
71.607113,70,8.241265
27.758357,41,8.410541
33.459104,35,8.716491
56.200965,49,8.915837
39.57327,40,9.082322
74.778282,55,9.312234
34.609738,55,9.538357
37.945237,41,9.70769
40.975351,46,9.897766
45.919511,51,10.108188
52.162634,48,10.307439
28.516387,31,10.433324
86.882088,69,10.718757
43.923002,46,11.070231
43.400784,39,11.229616
49.927578,54,11.453721
69.504955,56,11.683601
47.095465,41,11.857486
36.519853,39,12.01532
43.449745,42,12.192358
33.307646,37,12.347569
56.671806,47,12.543102
66.761956,54,12.764039
61.406304,60,13.013186
30.343863,46,13.371978
35.15389,36,13.519708
27.940531,34,13.663327
42.45875,55,13.887204
36.228326,39,14.049804
118.353359,80,14.377826
101.899444,71,14.668101
78.883857,69,14.958302
232.267927,119,15.619007
81.631236,65,15.885881
65.838049,46,16.072798
125.340118,84,16.417581
33.243152,34,16.557973
85.941766,63,16.821933
39.0173,41,16.994678
49.945768,45,17.18076
67.819597,49,17.381142
105.693849,78,17.861848
83.963567,58,18.098023
31.593859,46,18.288711
66.887371,48,18.484947
48.152294,43,18.660763
106.973412,73,18.958636
147.231197,97,19.361684
45.723309,39,19.518819
241.256443,141,20.25667
162.467317,101,20.668798
70.650672,50,20.87471
100.455147,69,21.162273
89.844329,62,21.419021
159.645079,90,21.790716
99.192447,70,22.077026
172.452891,95,22.62988
147.814499,98,23.02669
67.852587,53,23.250759
89.738749,62,23.512262
74.921458,52,23.722896
101.110464,79,24.04679
87.070985,61,24.303482
59.740439,50,24.672037
80.715231,57,24.902667
109.438395,73,25.19862
74.586986,53,25.418544
69.395617,55,25.644197
102.534092,68,25.919963
100.077701,71,26.205539
215.599684,142,26.949525
83.633488,58,27.184514
157.507265,105,27.615332
105.675671,70,27.900353
85.777839,59,28.142956
78.79096,54,28.3641
47.713198,51,28.572376
145.622183,89,28.935956
77.322995,55,29.325606
68.903019,50,29.526393
75.864054,56,29.75579
106.403644,71,30.043251
82.476732,60,30.287449
77.654023,55,30.508241
100.156172,75,30.815204
116.40392,75,31.119811
146.429117,90,31.650336
87.14878,61,31.90087
64.624627,51,32.10678
104.857207,76,32.42499
83.361337,59,32.671327
77.68466,55,32.894356
168.7919,96,33.294196
70.325364,54,33.67939
167.784997,104,34.117305
104.841429,75,34.430385
69.676575,65,34.702367
82.895267,61,34.950339
98.897708,70,35.239345
122.822281,81,35.573674
80.485028,59,35.97739
109.572191,85,36.321614
106.525049,69,36.606478
118.867471,88,36.970695
90.405476,69,37.252442
84.551477,58,37.489522
108.02305,91,37.868795
149.459366,90,38.395459
40.099908,56,38.622725
97.88869,70,38.909776
177.153523,112,39.369884
65.560737,47,39.564007
72.017864,51,39.772212
164.546787,98,40.174637
85.364097,65,40.604025
86.841515,60,40.848292
137.55993,106,41.287791
102.114463,72,41.578165
78.88236,56,41.805162
89.220438,80,42.137062
73.320987,52,42.358832
73.562675,55,42.746627
98.884837,66,43.01415
140.917842,90,43.399297
87.681907,61,43.646399
65.070585,47,43.835389
73.085886,54,44.05163
134.00922,81,44.386954
156.6505,112,45.006648
86.580568,64,45.266081
78.926775,60,45.513292
80.999455,61,45.761428
