#{"t_start": 1545807783.5585766, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
31.917382,31,148.09533
30.083567,33,148.232799
16.415781,15,148.295649
39.939997,31,148.426126
6.739659,10,148.466847
12.180173,16,148.53459
12.409412,23,148.631772
6.314074,8,148.664368
9.75016,18,148.740615
13.896462,16,148.808594
22.703777,30,148.937799
39.808268,27,149.048458
21.588618,22,149.140979
18.724115,17,149.213186
21.202328,21,149.301085
9.557464,17,149.370634
10.300863,12,149.42738
15.528944,21,149.518594
12.6405,19,149.599105
11.961138,14,149.656328
6.263065,11,149.702123
11.331471,22,149.796708
19.88052,19,149.873534
14.334213,28,149.988339
10.382496,15,150.05039
10.678732,12,150.101788
10.532399,13,150.15463
9.639916,29,150.275394
8.510837,11,150.321885
7.866484,16,150.386432
12.355734,16,150.452852
7.506535,9,150.489646
41.776012,31,150.618918
9.861416,13,150.673483
10.219326,19,150.753584
7.01645,10,150.797335
6.605346,9,150.836726
13.1204,24,150.936835
42.74761,36,151.085715
4.431004,9,151.124057
43.805622,35,151.266485
10.963017,21,151.357002
12.478768,20,151.44069
7.611357,14,151.498662
5.400079,9,151.537669
11.403638,13,151.592093
9.799788,18,151.668129
7.092264,11,151.713262
7.903355,10,151.755369
8.632491,15,151.817729
11.729783,15,151.880994
21.589156,20,151.964902
9.503794,17,152.037025
7.802144,11,152.085182
15.266653,17,152.154308
21.477096,34,152.294254
10.666646,12,152.345843
16.022832,25,152.451483
8.093283,19,152.529729
36.084995,29,152.649274
24.244563,24,152.753526
9.768199,24,152.853718
24.492262,28,152.969981
46.375729,62,153.230145
16.259184,19,153.311621
24.723404,26,153.420038
4.694786,7,153.451781
8.951153,16,153.517684
14.551091,16,153.580878
13.270481,19,153.660702
10.149125,15,153.724804
10.266339,12,153.774346
16.77775,17,153.845615
11.517252,17,153.915465
13.918452,18,153.989675
24.386822,24,154.085303
47.46391,37,154.238787
12.721562,17,154.310809
9.804153,14,154.370472
9.222699,12,154.420522
4.485999,8,154.452827
10.052773,15,154.51603
8.869784,15,154.578319
13.974154,24,154.67694
7.725973,11,154.721666
7.070229,11,154.765299
8.940596,14,154.835727
8.612483,12,154.897964
4.235235,14,154.961202
5.633669,9,155.000625
14.640036,15,155.069779
23.99032,36,155.228386
5.007289,23,155.330472
5.653999,9,155.369367
7.855048,12,155.417639
11.858643,19,155.497101
8.332005,11,155.544716
31.133411,40,155.704628
8.020791,24,155.803345
26.991428,28,155.917737
23.16077,23,156.015033
6.755241,15,156.078038
7.961173,17,156.14892
8.908861,21,156.239398
7.008519,9,156.277395
13.046283,15,156.342044
14.536845,41,156.51416
10.097123,18,156.589261
7.883846,12,156.639549
8.18662,11,156.686144
8.217416,13,156.74203
13.857583,15,156.804939
7.431971,9,156.841382
18.135555,19,156.919497
7.182306,10,156.962641
28.116772,30,157.089322
10.588652,16,157.158809
20.42179,20,157.242296
31.629362,30,157.36554
13.339268,25,157.469272
22.258842,31,157.595092
6.037938,12,157.644624
9.714214,12,157.693336
14.547715,27,157.8069
26.930635,28,157.922017
10.521607,12,157.974932
6.369348,9,158.013333
9.94964,12,158.061623
11.42203,18,158.134513
15.494552,14,158.192699
8.176291,18,158.2676
28.390001,26,158.37406
15.255182,17,158.445482
8.516816,10,158.485526
15.226667,25,158.589199
10.9618,16,158.653643
4.001616,12,158.705578
6.660151,12,158.754834
12.836475,17,158.825679
20.672372,18,158.900071
9.828976,15,158.963992
14.836372,16,159.030775
18.989724,21,159.119796
12.880014,17,159.189723
10.88268,19,159.265546
10.342313,17,159.334332
10.960231,27,159.448238
38.016795,45,159.628718
10.313493,20,159.709676
8.369876,11,159.754494
6.743836,15,159.817481
6.01933,14,159.877242
10.056839,11,159.922603
25.494021,25,160.02752
7.375846,13,160.081466
8.497442,15,160.143603
15.159036,20,160.229719
7.639347,11,160.276815
5.726919,10,160.317441
8.702593,18,160.400127
33.836324,39,160.583472
6.084241,27,160.697557
5.183018,9,160.741105
8.84654,14,160.800322
6.701926,17,160.910711
22.735601,29,161.063803
11.462102,13,161.119755
9.196167,13,161.177577
69.1099,45,161.379796
8.895205,13,161.433735
6.140012,10,161.4746
11.257369,23,161.571113
50.366656,38,161.737185
8.548115,14,161.794795
18.740255,32,161.92901
24.323934,35,162.082886
16.458113,21,162.181515
6.684435,13,162.236906
18.823889,20,162.32153
7.949284,10,162.361414
7.703308,13,162.419364
11.882102,17,162.491332
35.063339,29,162.633404
7.070959,10,162.677486
9.362262,13,162.732452
9.296011,13,162.78765
10.820543,14,162.845332
14.911444,29,162.97627
8.284117,11,163.022861
34.297472,27,163.134175
13.739766,17,163.20568
8.001545,10,163.245617
11.640738,15,163.307703
24.040317,22,163.399601
7.399409,13,163.454646
13.145394,14,163.514447
13.215912,15,163.573546
18.877568,20,163.656235
32.135707,24,163.757986
8.475672,10,163.802114
90.653594,60,164.049878
3.630251,11,164.09589
10.770366,29,164.217909
7.611313,10,164.260474
13.692976,16,164.325403
7.638837,15,164.386327
12.435146,14,164.447595
7.813022,27,164.561001
10.555025,28,164.680497
24.87777,45,164.873534
12.476936,22,164.961937
8.260883,13,165.016961
14.186028,19,165.093659
7.942674,15,165.157263
9.467494,20,165.2422
13.589468,27,771.302425
17.251332,17,771.37421
107.799187,78,771.695192
45.681655,44,771.90977
11.667618,16,771.985003
22.913776,28,772.124998
9.395829,15,772.191794
37.230713,32,772.328512
9.16112,14,772.388748
19.346974,32,772.523122
30.130221,27,772.63517
32.597288,33,772.780941
19.445709,21,772.868961
14.746956,16,772.934613
9.621448,16,773.003355
7.401102,12,773.053676
7.485309,13,773.109162
118.613421,73,773.411728
11.917053,14,773.469557
19.12547,22,773.561468
5.27959,23,773.657703
12.641488,14,773.715151
12.640911,13,773.769842
17.909807,23,773.868753
8.371922,10,773.911253
5.59844,13,773.965783
7.58436,10,774.008626
10.141661,11,774.05278
31.150496,26,774.158221
68.983304,75,774.467579
19.931761,20,774.550364
16.651069,17,774.623892
15.110486,20,774.707787
22.273063,27,774.825275
11.870085,13,774.881409
16.834506,15,774.946848
16.666899,18,775.023388
7.082705,11,775.070683
29.307293,34,775.214027
4.578806,7,775.242404
106.211675,59,775.486676
7.805097,10,775.529812
8.610966,15,775.594941
9.67665,13,775.649096
9.575383,11,775.694903
149.775475,86,776.053376
34.000275,38,776.211839
41.901498,32,776.348287
14.118131,14,776.406589
7.661185,10,776.45431
12.879648,16,776.525721
8.802903,12,776.577284
45.850352,37,776.732419
11.770604,13,776.787848
11.641843,14,776.850976
21.208837,20,776.937338
12.460912,13,776.993535
26.016772,32,777.127723
10.944758,14,777.186058
18.046673,19,777.269283
34.15901,29,777.389282
11.771475,14,777.449091
9.339687,10,777.492144
24.85514,23,777.589539
58.549417,45,777.779833
14.175987,19,777.863718
110.226931,60,778.11909
39.224942,42,778.296366
5.425334,13,778.350936
19.084548,33,778.497755
26.755113,30,778.625889
20.396085,22,778.718186
6.249478,9,778.757185
12.204025,15,778.821626
18.963453,28,778.938318
10.308085,16,779.005794
10.993849,24,779.109752
139.405046,80,779.447584
15.328797,40,779.616157
142.890636,82,779.963942
5.877624,10,780.006182
36.902204,34,780.148778
31.817471,45,780.33935
8.114273,11,780.386624
23.399271,21,780.476176
7.965751,12,780.52573
9.323305,11,780.572172
31.757026,28,780.691871
14.045306,16,780.763499
9.096331,18,780.838894
6.330968,8,780.87302
77.984583,49,781.081969
156.086632,91,781.466336
62.115988,51,781.680274
8.955026,13,781.735868
62.862466,45,781.926912
37.72041,29,782.053128
28.203274,28,782.171391
17.75635,18,782.249326
30.386581,30,782.373549
44.296868,39,782.535932
37.820575,35,782.680515
10.50655,19,782.761381
13.439735,26,782.886874
12.500374,16,782.972545
78.331187,63,783.254859
8.743319,11,783.29973
23.689999,32,783.43095
14.107894,15,783.49321
11.321024,15,783.556216
10.089556,13,783.612199
37.090708,43,783.792694
108.677278,73,784.092951
12.794697,18,784.167578
6.493306,8,784.202163
15.489905,21,784.294655
103.444664,78,784.617444
8.400857,14,784.674389
30.649895,25,784.775236
50.097015,36,784.925484
11.340417,30,785.05122
9.609853,12,785.101082
14.575839,15,785.161509
23.331989,27,785.270824
13.362383,21,785.354675
12.568303,17,785.426586
10.602263,22,785.518845
29.833748,31,785.650164
21.295673,19,785.731358
33.879484,29,785.852533
115.440152,62,786.112365
20.972684,24,786.209508
19.128807,21,786.295191
10.874139,22,786.3898
5.996363,22,786.483765
17.72496,22,786.576174
7.98505,12,786.625346
51.391993,37,786.787934
15.463514,19,786.865603
8.166244,11,786.913591
17.268734,21,786.997319
49.32274,56,787.231369
36.687369,48,787.43207
97.536959,56,787.664483
9.557181,11,787.713418
43.206973,33,787.854486
10.904343,19,787.933547
8.473514,13,787.988796
34.317152,39,788.154238
7.219874,9,788.19137
9.138821,18,788.265623
51.662628,36,788.417168
16.160363,17,788.49073
35.355957,33,1164.189481
9.193858,17,1164.261229
24.039554,22,1164.351931
40.208134,46,1164.543139
100.744357,60,1164.800262
11.673404,14,1164.869511
