#{"t_start": 1545738431.4013205, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
12.018865,14,20.239515
7.711929,12,20.290594
22.257259,33,20.427999
8.139597,15,20.491916
9.677983,12,20.538978
15.655247,18,20.611563
11.165255,17,20.681995
14.773834,18,20.756792
8.013654,28,20.873081
8.4634,10,20.914686
6.630342,11,20.966424
11.562474,22,21.058623
11.952726,24,21.164278
11.832719,15,21.22735
26.101888,22,21.330964
9.995449,12,21.384802
5.347402,13,21.439875
13.105267,25,21.546456
12.01886,13,21.603307
18.687605,37,21.763114
8.248393,18,21.840359
44.284213,42,22.013268
12.426195,14,22.074273
27.300208,26,22.180008
17.224247,20,22.2635
5.805667,13,22.319386
8.176195,10,43.505333
7.665278,10,43.551643
8.557697,13,43.604598
8.739828,17,43.675538
23.822698,22,43.768023
8.152434,13,43.823079
14.015466,19,43.904046
6.658704,11,43.951989
7.463029,14,44.01174
10.894583,26,44.119829
7.573431,11,44.167072
16.15196,16,44.232316
15.366765,17,44.301718
6.859162,13,44.354142
12.151898,17,44.423635
12.993986,16,44.490151
7.657554,16,44.557229
10.430694,15,44.617813
38.16949,36,44.766526
6.678467,17,44.837636
10.210257,12,44.886957
12.917053,23,44.981812
5.900438,8,45.014344
8.286787,16,45.079549
20.632287,21,45.169622
9.262412,11,45.214436
10.441969,13,45.266983
8.895308,16,45.332507
7.821852,14,45.389634
63.18132,46,45.580323
6.410714,11,45.625901
10.811588,15,52.177273
102.980412,73,52.472135
9.817307,12,52.521686
24.171953,30,52.646763
29.062822,27,52.75744
122.848737,64,53.018915
30.216466,42,53.193696
9.662345,16,53.259762
7.960941,18,53.335037
13.470062,15,53.400907
11.358209,17,53.474169
26.686598,24,53.576221
26.189788,22,53.671095
24.382668,21,53.759525
81.298873,58,54.004802
87.979457,54,54.237165
92.366899,66,61.075228
57.239259,36,61.226231
42.082425,31,61.360857
25.515286,31,61.489339
26.302946,25,61.593225
103.059646,57,61.834655
26.638221,39,61.999404
25.62668,25,62.105905
92.350816,51,62.315599
9.150772,16,62.381012
131.722515,79,62.706325
124.601318,71,69.557353
127.661501,69,69.84683
60.166909,36,69.995516
210.297934,119,70.48577
10.885597,13,70.537893
59.061612,36,70.686548
162.655176,83,71.042773
153.958066,85,71.396513
54.732715,39,71.555475
60.815135,37,78.215143
110.965037,60,78.469643
156.468176,87,78.827934
112.664483,73,79.127315
24.5153,25,79.232294
95.233801,59,79.475592
190.371975,91,79.851382
75.365019,44,80.038126
148.322639,79,86.892239
58.316898,35,87.030641
74.050795,44,87.206287
124.274405,63,87.463185
115.064975,64,87.718437
185.306377,88,88.077266
193.644327,92,88.460446
56.052388,34,88.601279
11.516598,13,88.657842
68.433769,41,88.826768
100.550368,56,95.793476
211.125285,94,96.177639
206.071709,98,96.594234
201.447443,88,96.958321
222.806431,98,97.376794
243.747,115,104.432363
194.716964,87,104.782833
192.345399,94,105.170423
225.756858,104,105.599722
212.561585,93,105.983542
201.025262,102,106.40921
61.691359,38,113.12085
190.247088,88,113.469293
190.212066,91,113.834536
189.906703,86,114.178413
65.726791,39,114.340994
213.312902,94,114.726154
228.847568,99,121.701236
192.821091,95,122.087685
201.082706,93,122.46254
204.435605,92,122.842391
214.680923,93,123.219122
198.096136,89,123.590017
214.361936,93,130.59677
166.482416,78,130.909707
188.161052,84,131.273192
204.767047,89,131.646537
58.991952,36,131.790359
232.536272,103,132.206709
203.947341,91,139.109623
193.564779,89,139.473978
230.489027,101,139.893596
213.311951,93,140.272837
220.973345,94,140.647235
237.807603,107,141.086242
191.147144,85,148.004233
235.310025,102,148.418154
71.185793,42,148.587639
203.328378,89,148.948944
198.984627,99,149.366282
203.063617,91,149.736865
209.998145,93,156.64534
190.490909,91,157.013977
201.74638,90,157.383377
200.10867,89,157.746332
223.614735,95,158.136368
220.186988,95,165.208089
56.037687,34,165.346131
198.224901,88,165.701961
204.080585,92,166.076025
233.052235,97,166.470738
202.866846,89,166.830357
203.951583,92,173.769428
220.71925,95,174.164536
226.191979,98,174.562062
220.037884,95,174.949109
210.791412,92,175.325838
208.359209,92,175.71369
216.489475,96,182.661474
230.204407,98,183.059612
213.989744,96,183.454088
173.48648,86,183.814452
238.44778,112,184.274565
204.807725,94,191.179716
254.721687,107,191.610502
234.819916,99,192.01663
176.802709,81,192.351116
180.42269,84,192.699589
213.035963,94,193.084073
47.048511,28,199.785999
321.565153,136,200.330825
253.877399,106,200.767046
168.636019,83,201.115388
206.839569,91,201.523719
234.528354,99,208.933378
180.889128,84,209.313111
224.035091,95,209.706149
218.761976,93,210.084408
182.944173,89,210.453469
214.552333,95,210.841167
121.11087,65,217.758813
214.632128,100,218.157612
260.64094,131,218.684376
112.177927,66,218.951833
228.574077,97,219.33699
221.078729,96,226.235706
247.815061,105,226.657041
325.016801,138,227.217297
305.639242,122,227.711638
230.743638,105,228.136069
199.510382,88,235.040023
193.428184,86,235.397097
260.151572,107,235.830412
274.931799,111,236.28341
256.489925,105,236.712158
281.594345,112,243.677798
343.301699,126,244.189705
262.167537,108,244.623547
183.467684,84,244.967951
255.241922,107,245.4047
297.727827,118,252.649773
286.022954,110,253.221941
290.401745,114,253.854399
337.060803,123,254.518868
298.942026,115,261.890636
215.37719,96,262.275295
303.943061,116,262.750676
