#{"t_start": 1545883371.927574, "gym_version": "0.10.8", "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.594569
-500.0,500,4.561564
-323.0,324,5.801502
-250.0,251,6.799397
-251.0,252,7.653484
-207.0,208,8.336763
-290.0,291,9.455491
-179.0,180,10.045571
-151.0,152,10.744323
-132.0,133,11.196793
-104.0,105,11.547486
-152.0,153,12.058267
-165.0,166,12.865147
-118.0,119,13.258363
-123.0,124,13.663199
-115.0,116,14.044387
-112.0,113,14.589176
-102.0,103,14.926976
-83.0,84,15.204109
-98.0,99,15.52752
-97.0,98,15.844377
-111.0,112,16.374884
-112.0,113,16.747815
-163.0,164,17.277235
-103.0,104,17.623794
-110.0,111,18.167889
-112.0,113,18.54339
-82.0,83,18.815346
-104.0,105,19.16574
-91.0,92,19.471509
-120.0,121,20.052823
-110.0,111,20.442042
-129.0,130,20.921991
-80.0,81,21.193568
-102.0,103,21.575329
-83.0,84,22.118532
-95.0,96,22.517557
-272.0,273,24.013613
-112.0,113,24.770259
-109.0,110,25.37974
-75.0,76,25.724335
-120.0,121,26.132127
-111.0,112,26.51326
-105.0,106,27.046324
-114.0,115,27.451976
-102.0,103,27.822214
-123.0,124,28.246872
-93.0,94,28.566447
-81.0,82,29.02575
-92.0,93,29.335738
-89.0,90,29.631225
-89.0,90,29.9343
-91.0,92,30.254361
-89.0,90,30.567352
-94.0,95,31.074494
-88.0,89,31.372196
-90.0,91,31.687429
-91.0,92,32.000714
-90.0,91,32.308629
-272.0,273,33.387569
-82.0,83,33.702366
-81.0,82,33.979911
-108.0,109,34.370941
-77.0,78,34.797302
-81.0,82,35.065415
-98.0,99,35.392762
-106.0,107,35.746978
-73.0,74,35.989842
-82.0,83,36.260151
-74.0,75,36.680088
-90.0,91,36.987319
-83.0,84,37.275994
-76.0,77,37.535124
-115.0,116,37.918651
-81.0,82,38.356902
-78.0,79,38.626653
-76.0,77,38.880683
-90.0,91,39.185935
-63.0,64,39.396448
-79.0,80,39.669443
-105.0,106,40.015707
-104.0,105,40.530213
-93.0,94,40.840172
-103.0,104,41.187358
-77.0,78,41.446398
-73.0,74,41.691104
-71.0,72,42.09271
-95.0,96,42.415656
-81.0,82,42.68556
-75.0,76,42.935019
-117.0,118,43.320522
-81.0,82,43.634768
-87.0,88,44.150928
-77.0,78,44.418363
-124.0,125,44.835708
-75.0,76,45.08937
-84.0,85,45.374581
-84.0,85,45.667716
-83.0,84,46.123898
-63.0,64,46.33635
-68.0,69,46.561043
-73.0,74,46.80022
-70.0,71,47.038065
-71.0,72,47.278944
-79.0,80,47.542668
-91.0,92,48.013344
-82.0,83,48.285984
-71.0,72,48.525451
-85.0,86,48.813096
-87.0,88,49.095332
-113.0,114,49.465568
-69.0,70,49.876516
-72.0,73,50.124863
-101.0,102,50.46092
-69.0,70,50.696849
-82.0,83,50.967464
-88.0,89,51.258198
-76.0,77,51.684915
-96.0,97,52.001075
-70.0,71,52.231597
-69.0,70,52.461965
-63.0,64,52.675557
-71.0,72,52.911654
-88.0,89,53.209063
-89.0,90,53.67764
-85.0,86,53.963238
-85.0,86,54.247439
-89.0,90,54.580762
-87.0,88,54.921154
-78.0,79,55.346321
-83.0,84,55.629803
-72.0,73,55.867328
-84.0,85,56.144661
-70.0,71,56.378406
-73.0,74,56.623479
-61.0,62,56.830333
-70.0,71,57.231694
-105.0,106,57.581725
-60.0,61,57.778392
-63.0,64,57.989831
-85.0,86,58.266637
-95.0,96,58.582094
-71.0,72,58.814561
-64.0,65,59.194968
-100.0,101,59.533846
-70.0,71,59.769107
-69.0,70,59.99878
-69.0,70,60.229864
-85.0,86,60.514333
-70.0,71,60.916706
-72.0,73,61.152689
-70.0,71,61.38142
-71.0,72,61.614459
-72.0,73,61.860752
-62.0,63,62.078685
-70.0,71,62.315923
-71.0,72,62.555159
-62.0,63,62.93726
-80.0,81,63.208448
-87.0,88,63.506028
-76.0,77,63.762099
-92.0,93,64.074243
-76.0,77,64.326512
-71.0,72,64.745964
-62.0,63,64.951096
-64.0,65,65.168288
-86.0,87,65.482678
-83.0,84,65.835603
-72.0,73,66.103205
-86.0,87,66.386265
-81.0,82,66.82323
-62.0,63,67.031435
-74.0,75,67.284547
-69.0,70,67.512473
-70.0,71,67.749331
-63.0,64,67.967839
-82.0,83,68.252566
-63.0,64,68.64256
-82.0,83,68.919024
-73.0,74,69.165033
-71.0,72,69.395748
-93.0,94,69.709646
-63.0,64,69.918275
-61.0,62,70.121614
-62.0,63,70.496695
-62.0,63,70.703906
-72.0,73,70.937869
-71.0,72,71.177765
-72.0,73,71.415012
-80.0,81,71.67994
-61.0,62,71.890663
-102.0,103,72.421351
-111.0,112,72.810412
-63.0,64,73.037682
-71.0,72,73.286182
-78.0,79,73.559546
-69.0,70,73.804267
-63.0,64,74.198573
-71.0,72,74.456204
-71.0,72,74.700474
-108.0,109,75.075535
-63.0,64,75.294728
-61.0,62,75.510121
-77.0,78,75.785665
-62.0,63,76.175515
-86.0,87,76.497979
-71.0,72,76.770072
-78.0,79,77.055901
-64.0,65,77.328011
-61.0,62,77.545166
-86.0,87,77.850837
-92.0,93,78.351692
