#{"t_start": 1545682207.4054294, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
17.659981,20,2.062802
9.367146,16,2.124666
26.291455,27,2.229731
7.361855,9,2.266873
16.845582,21,2.3504
14.506731,23,2.442375
23.007677,22,2.530195
8.774749,12,2.576422
5.087773,24,2.669985
25.029757,36,2.81298
8.07089,11,2.855607
9.85007,13,2.906007
10.880434,22,2.994814
8.672578,14,3.049663
11.066558,19,3.124472
8.881017,15,3.183534
31.553176,27,3.289674
24.981403,28,3.397735
5.984395,13,3.448697
40.220107,34,3.582276
7.402219,12,3.630806
5.780389,10,3.670554
13.214373,32,3.796105
9.757098,20,3.873706
8.272222,14,3.929384
14.797147,18,4.001223
6.138358,9,4.338572
7.762258,12,4.385897
15.595707,18,4.456447
20.737244,27,4.564237
88.043638,56,4.790912
16.376188,22,4.877919
10.399058,13,4.928612
33.995343,31,5.05096
7.392636,9,5.085223
44.820134,40,5.239351
21.304804,20,5.317526
12.286696,13,5.369123
8.88443,11,5.411112
10.663589,22,5.498841
8.486944,11,5.543352
8.344096,13,5.595864
12.43094,16,5.659182
9.317563,16,5.722629
6.797267,11,5.766566
8.722084,12,5.814644
10.926015,12,5.861863
11.764624,14,5.917233
45.798798,31,6.03829
7.914233,14,6.093659
5.093384,24,6.183595
9.646728,14,6.238382
23.30101,28,6.506811
9.689532,14,6.559921
10.704877,15,6.617602
8.456136,11,6.662328
68.440436,40,6.818836
23.263591,21,6.901219
56.684095,39,7.065247
8.69861,12,7.113001
76.369699,45,7.293512
16.441113,24,7.389692
35.452354,29,7.501652
11.078709,13,7.551959
9.858252,11,7.594839
30.576522,31,7.719584
79.046245,46,7.901313
29.748644,47,8.083
31.499763,37,8.231652
11.450514,14,8.290777
99.506561,57,8.678789
6.929788,11,8.720926
74.085572,66,8.976208
20.193059,25,9.076648
104.176231,62,9.327899
9.412527,14,9.383891
60.696822,37,9.533168
8.032816,11,9.57658
15.861333,16,9.639827
95.919915,67,9.906036
25.168108,26,10.010307
122.658454,62,10.262656
13.642418,14,10.319702
30.985773,31,10.445002
20.956966,28,10.558388
10.577048,13,10.611515
139.914947,88,11.124222
50.193154,31,11.246778
18.09729,26,11.34903
93.212038,66,11.608031
121.953562,71,11.887901
15.121104,16,11.951429
79.420961,49,12.142286
51.554948,37,12.287094
101.56818,80,12.59542
18.970936,17,12.660624
21.644481,19,12.734629
222.549569,105,13.305788
125.875849,70,13.580042
202.963024,103,13.981492
219.13834,99,14.366189
124.096115,65,14.619676
59.586988,36,14.758293
219.745442,107,15.333797
205.736884,95,15.710204
186.53842,89,16.058551
240.165284,121,16.529035
61.188258,37,16.672994
12.749167,14,16.727105
205.234984,93,17.102005
199.907563,98,17.64037
209.716824,93,18.001319
63.144733,38,18.150572
193.914349,87,18.488357
192.857083,92,18.846002
203.199575,98,19.224537
203.30121,90,19.739861
210.563347,100,20.130561
211.011398,94,20.500853
101.158769,56,20.723826
240.038553,119,21.191386
188.092051,85,21.526824
223.926594,99,22.075573
207.570283,92,22.436311
190.821799,89,22.78541
215.966404,95,23.161127
210.606477,91,23.520294
211.812651,92,24.041827
211.66153,93,24.408668
227.645825,104,24.818845
203.157868,91,25.175496
215.982626,94,25.544706
208.041564,92,26.067055
214.196251,103,26.475863
198.718068,88,26.820666
211.645056,97,27.214944
226.971297,98,27.602097
226.693305,100,27.993749
254.023821,106,28.572405
222.687176,96,28.945705
332.824779,132,29.465989
301.873362,122,29.946383
256.98663,104,30.514517
233.741674,102,30.917054
298.42807,120,31.3851
242.846521,102,31.783241
238.126643,100,32.176938
282.865913,111,32.77189
242.829515,100,33.165075
296.647889,117,33.622128
305.668019,121,34.101514
275.129091,111,34.543638
301.617351,114,35.151382
349.322568,133,35.671366
305.312416,123,36.154005
293.368718,115,36.608672
369.124387,134,37.308047
322.395657,122,37.781
292.318481,120,38.251037
312.300276,121,38.725725
323.202667,130,39.392237
311.037765,122,39.86669
345.131049,131,40.378337
331.043511,130,40.885796
343.105391,132,41.568046
242.941366,104,41.975191
315.133722,123,42.44907
340.877179,129,42.965986
322.970594,124,43.620858
348.443555,132,44.142303
341.050935,133,44.665434
345.725343,132,45.179064
336.404324,126,45.820906
370.221627,135,46.345366
384.96475,139,46.88096
336.831463,126,47.383941
380.395837,141,48.086615
344.515471,131,48.589617
348.609294,130,49.085046
354.968291,130,49.592064
359.872296,133,50.277636
368.828101,136,50.814063
378.46291,138,51.366223
365.939648,133,51.883906
351.988454,131,52.565003
392.512003,142,53.120466
350.137952,132,53.627061
381.108198,141,54.348323
366.16174,137,54.881916
415.609116,148,55.445307
381.463965,137,55.98651
402.947621,145,56.706407
399.167083,142,57.244391
382.895085,141,57.797527
359.717289,133,58.335683
402.783854,144,59.069797
417.178888,149,59.642387
388.657763,139,60.181347
399.149037,143,60.894147
395.970909,143,61.442597
407.007484,145,61.995955
401.474385,144,62.547623
432.387487,151,63.282678
421.207638,149,63.85062
415.655721,147,64.418241
417.859915,148,65.53102
427.467083,150,67.033722
421.643448,150,68.078389
420.524268,148,68.649558
455.553713,156,69.405244
450.515196,155,70.000984
456.171242,155,70.590609
437.054542,153,71.341554
470.690728,161,71.977665
415.095493,147,72.546411
434.799025,148,73.275921
453.28141,153,73.869816
474.863186,158,74.477274
472.15681,159,75.096653
430.742564,148,75.821597
531.787827,174,76.49082
446.898181,154,77.081219
481.606494,161,77.863273
468.644858,157,78.479625
505.550061,164,79.10229
522.365026,170,79.920001
514.053649,167,80.557947
528.804805,172,81.21314
549.540798,175,82.043215
493.758381,162,82.661489
505.78622,167,83.307338
504.654938,164,84.095761
495.5727,162,84.718848
546.964776,174,85.40884
575.581137,186,86.381254
579.811263,180,87.068906
564.107789,176,87.751301
614.243478,193,88.697308
584.871747,188,89.416912
590.76967,186,90.139419
611.575854,193,91.04684
624.785778,196,91.800136
626.992693,202,92.736701
584.157106,183,93.434669
617.750671,194,94.179034
664.292582,204,95.135818
612.728217,189,95.875978
618.358148,193,96.789732
638.712096,200,97.550981
638.076347,203,98.34013
655.014036,204,99.297238
656.418881,203,100.086104
660.860008,207,101.040544
645.050702,202,101.832617
666.945459,204,102.635019
661.752077,203,103.581086
656.01823,207,104.372074
681.006967,211,105.351871
685.247886,212,106.169509
667.725182,209,106.973583
709.427638,218,107.997403
707.433762,218,108.840456
666.605156,207,109.816086
683.400653,211,110.63431
